mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,orders[].header.orderID,Orders/Order/Header/Order_ID,Direct copy; strip whitespace. Primary key (data dictionary position = 1); chosen over source_system_record_id - DEC-016.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3c
MAP-orders-02,orders,source_system_record_id,both,orders[].header.sourceSystemRecordID,Orders/Order/Header/Source_System_Record_ID,"Direct copy; strip whitespace. Same identifier re-encoded as SRC-001-H-<n>; carried as an attribute, not used as the key - DEC-016.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3c
MAP-orders-03,orders,customer_id,both,orders[].header.customerID,Orders/Order/Header/Customer_ID,Direct copy; strip whitespace. Foreign key to customers.customer_id.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017. FK resolves with zero orphans only against the pooled union: 499 XML pointers fail against the JSON alone.",S1.3d
MAP-orders-04,orders,order_timestamp,both,orders[].header.orderTimestamp,Orders/Order/Header/Order_Timestamp,"JSON: ISO text 'YYYY-MM-DD HH:MM:SS', parse directly. XML: text 'DD/MM/YYYY HH:MM:SS', parse with dayfirst=True. Both to datetime64.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017. Compared before parsing this column reports a false conflict - S1.3e.",S1.3b
MAP-orders-05,orders,sales_channel,both,orders[].header.salesChannel,Orders/Order/Header/Sales_Channel,Direct copy; strip whitespace. Categorical: Web / Store / App.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-06,orders,payment_method,both,orders[].header.paymentMethod,Orders/Order/Header/Payment_Method,Direct copy; strip whitespace.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-07,orders,currency,both,orders[].header.currency,Orders/Order/Header/Currency,"Direct copy; strip whitespace. 'AUD' throughout this extract; read from the data, not assumed.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-08,orders,nearest_warehouse,both,orders[].header.nearestWarehouse,Orders/Order/Header/Nearest_Warehouse,"Direct copy; strip whitespace. Warehouse name only. The XML WarehouseDirectory block (3 warehouses, lat/long) is NOT joined here and is not an output table.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-09,orders,order_status,both,orders[].header.orderStatus,Orders/Order/Header/Order_Status,"Direct copy; strip whitespace. 'Completed' for all 2,818 rows in both files - observed, not assumed constant.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-10,orders,order_price,both,orders[].header.orderPrice,Orders/Order/Header/Order_Price,"JSON: already float. XML: text 'AUD 2,765.47' - strip the 'AUD ' prefix and ',' thousands separator, cast float, round 2. Identity checked, not recomputed: order_price == round(sum of line_revenue, 2), 0 mismatches of 5,000.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017. Compared as raw strings this column is a fake conflict; equal to 0.01 tolerance after normalisation.",S1.3b
MAP-orders-11,orders,delivery_charges,both,orders[].header.deliveryCharges,Orders/Order/Header/Delivery_Charges,"JSON: already float. XML: strip 'AUD ' prefix and ',' separator, cast float, round 2. Order-level charge; distinct from deliveries.delivery_cost.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
