order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000879,SRC-001-H-000879,CUS00481,2018-12-31 13:52:00,Web,Gift Card,AUD,Bakers,Completed,1189.23,21.86,NaN,10.0,108.11,1092.17,Summer,True,-37.853022,145.026366,Mobile,Paid Search,gift purchase for a family member,NaN
HORD000537,SRC-001-H-000537,CUS00242,2018-08-23 14:56:00,Web,Bank Transfer,AUD,Nickolson,Completed,1554.14,28.04,B1SAVE-66,25.0,141.29,1193.64,Winter,True,-37.871966,144.970039,Tablet,Organic,gift purchase for a family member,B1SAVE-66
HORD000247,SRC-001-H-000247,CUS00321,2018-09-24 08:07:00,Web,Bank Transfer,AUD,Bakers,Completed,4732.56,8.09,NaN,10.0,430.23,4267.39,Spring,False,-37.802892,144.993514,Tablet,Paid Search,please use minimal packaging,NaN
HORD003196,SRC-001-H-003196,CUS00474,2018-11-09 17:37:00,Mobile,Card,AUD,Thompson,Completed,3736.46,9.77,NaN,5.0,339.68,3559.41,Spring,False,-37.840529,144.943718,Tablet,Referral,no special instruction,NaN
HORD003602,SRC-001-H-003602,CUS00221,2018-12-02 08:33:00,Mobile,Bank Transfer,AUD,Bakers,Completed,4170.1,14.2,B1SAVE-11,20.0,379.1,3350.28,Summer,False,-37.876453,145.050783,Tablet,Referral,no special instruction,B1SAVE-11
HORD000857,SRC-001-H-000857,CUS00119,2018-09-01 08:19:00,Web,Card,AUD,Thompson,Completed,1553.83,12.17,B1SAVE-66,15.0,141.26,1332.93,Spring,False,-37.767162,144.902639,Mobile,Referral,call before delivery,B1SAVE-66
HORD000296,SRC-001-H-000296,CUS00382,2018-07-28 08:51:00,Web,Gift Card,AUD,Thompson,Completed,1106.86,14.63,NaN,5.0,100.62,1066.15,Winter,False,-37.764385,144.957216,Desktop,Store,please leave at reception,NaN
HORD000968,SRC-001-H-000968,CUS00308,2018-05-01 08:08:00,Web,Card,AUD,Thompson,Completed,3362.11,12.46,B1SAVE-17,15.0,305.65,2870.25,Autumn,False,-37.873905,144.928531,Desktop,Social,please use minimal packaging,B1SAVE-17
HORD004716,SRC-001-H-004716,CUS00411,2018-02-09 20:13:00,Mobile,Card,AUD,Thompson,Completed,5670.7,19.48,NaN,0.0,515.52,5690.18,Summer,True,-37.826469,144.93046,Desktop,Social,please use minimal packaging,NaN
HORD000368,SRC-001-H-000368,CUS00308,2018-01-20 19:55:00,Store,PayPal,AUD,Thompson,Completed,2433.08,12.9,NaN,0.0,221.19,2445.98,Summer,False,-37.873905,144.928531,Desktop,Social,gift purchase for a family member,NaN
HORD001758,SRC-001-H-001758,CUS00197,2018-08-28 13:26:00,Web,PayPal,AUD,Thompson,Completed,135.01,17.02,NaN,5.0,12.27,145.28,Winter,False,-37.873029,144.892354,Mobile,Social,call before delivery,NaN
HORD004888,SRC-001-H-004888,CUS00481,2018-01-20 19:36:00,Web,PayPal,AUD,Bakers,Completed,616.24,11.86,NaN,10.0,56.02,566.48,Summer,False,-37.853022,145.026366,Mobile,Paid Search,call before delivery,NaN
HORD002619,SRC-001-H-002619,CUS00112,2018-02-06 19:06:00,Web,Bank Transfer,AUD,Nickolson,Completed,1610.49,13.71,B1SAVE-68,20.0,146.41,1302.1,Summer,False,-37.881803,145.016753,Desktop,Store,please leave at reception,B1SAVE-68
HORD001127,SRC-001-H-001127,CUS00373,2018-04-02 21:36:00,Mobile,Card,AUD,Thompson,Completed,3673.14,8.18,NaN,10.0,333.92,3314.01,Autumn,False,-37.79976,144.952619,Mobile,Store,please leave at reception,NaN
HORD002044,SRC-001-H-002044,CUS00096,2018-04-12 16:57:00,Mobile,Bank Transfer,AUD,Nickolson,Completed,2445.08,23.98,B1SAVE-53,15.0,222.28,2102.3,Autumn,True,-37.886901,144.981812,Desktop,Store,please leave at reception,B1SAVE-53
HORD001491,SRC-001-H-001491,CUS00382,2018-03-13 11:34:00,Mobile,Card,AUD,Thompson,Completed,2450.57,11.25,NaN,5.0,222.78,2339.29,Autumn,False,-37.764385,144.957216,Desktop,Store,no special instruction,NaN
HORD001731,SRC-001-H-001731,CUS00222,2018-06-22 09:55:00,Store,PayPal,AUD,Thompson,Completed,3329.94,14.69,B1SAVE-60,15.0,302.72,2845.14,Winter,False,-37.765944,144.925847,Desktop,Social,no special instruction,B1SAVE-60
HORD003071,SRC-001-H-003071,CUS00194,2018-11-30 21:38:00,Store,PayPal,AUD,Bakers,Completed,5987.26,12.53,B1SAVE-40,15.0,544.3,5101.7,Spring,False,-37.869793,145.01594,Mobile,Social,no special instruction,B1SAVE-40
HORD002734,SRC-001-H-002734,CUS00442,2018-08-12 16:49:00,Mobile,Card,AUD,Thompson,Completed,4954.74,14.44,B1SAVE-23,15.0,450.43,4225.97,Winter,False,-37.794489,144.892237,Tablet,Store,call before delivery,B1SAVE-23
HORD004628,SRC-001-H-004628,CUS00120,2018-10-20 18:20:00,Web,Bank Transfer,AUD,Bakers,Completed,2971.46,8.9,NaN,10.0,270.13,2683.21,Spring,False,-37.792939,144.99866,Desktop,Organic,please use minimal packaging,NaN
HORD001885,SRC-001-H-001885,CUS00160,2018-03-05 18:29:00,Web,Bank Transfer,AUD,Bakers,Completed,645.75,12.76,B1SAVE-54,20.0,58.7,529.36,Autumn,False,-37.855799,145.056037,Tablet,Social,call before delivery,B1SAVE-54
