mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,orders[].header.orderID,Orders/Order/Header/Order_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-02,orders,source_system_record_id,both,orders[].header.sourceSystemRecordID,Orders/Order/Header/Source_System_Record_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-03,orders,customer_id,both,orders[].header.customerID,Orders/Order/Header/Customer_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-04,orders,order_timestamp,both,orders[].header.orderTimestamp,Orders/Order/Header/Order_Timestamp,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD HH:MM:SS at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-05,orders,sales_channel,both,orders[].header.salesChannel,Orders/Order/Header/Sales_Channel,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-06,orders,payment_method,both,orders[].header.paymentMethod,Orders/Order/Header/Payment_Method,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-07,orders,currency,both,orders[].header.currency,Orders/Order/Header/Currency,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-08,orders,nearest_warehouse,both,orders[].header.nearestWarehouse,Orders/Order/Header/Nearest_Warehouse,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-09,orders,order_status,both,orders[].header.orderStatus,Orders/Order/Header/Order_Status,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-10,orders,order_price,both,orders[].header.orderPrice,Orders/Order/Header/Order_Price,"Recomputed as round(Σ line_revenue, 2) over the canonical order_items of each order; the source value is not copied. Reconciled at tolerance 0.01 — 0 rows outside (§4.1).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-11,orders,delivery_charges,both,orders[].header.deliveryCharges,Orders/Order/Header/Delivery_Charges,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-orders-12,orders,coupon_code,both,orders[].header.couponCode,Orders/Order/Header/Coupon_Code,"Direct copy. Missing is an empty string in the JSON and an empty element in the XML; both become the literal three-character 'NaN' sentinel, filled before any string cast (§4.1).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-13,orders,coupon_discount,both,orders[].header.couponDiscount,Orders/Order/Header/Coupon_Discount,"Strip '%' and cast to float. Percentage points, not a fraction — arithmetic divides by 100 (§4.0.1 norm_percent).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-14,orders,tax_amount,both,orders[].header.taxAmount,Orders/Order/Header/Tax_Amount,"Recomputed as round(order_price / 11, 2), before the coupon discount, and reported separately rather than added to order_total. Reconciled at 0.01 — 0 rows outside (§4.1).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-15,orders,order_total,both,orders[].header.orderTotal,Orders/Order/Header/Order_Total,"Recomputed as round(order_price × (1 − coupon_discount/100) + delivery_charges, 2); coupon_discount is percentage points. Reconciled at 0.01 — 0 rows outside (§4.1).",TODO-YANDU,TODO-EVIDENCE
MAP-orders-16,orders,season,both,orders[].header.season,Orders/Order/Header/Season,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-17,orders,expedited_delivery,both,orders[].header.expeditedDelivery,Orders/Order/Header/Expedited_Delivery,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-18,orders,customer_lat,both,orders[].header.customerLat,Orders/Order/Header/Customer_Lat,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-19,orders,customer_long,both,orders[].header.customerLong,Orders/Order/Header/Customer_Long,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-20,orders,device_type,both,orders[].header.deviceType,Orders/Order/Header/Device_Type,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-21,orders,referral_source,both,orders[].header.referralSource,Orders/Order/Header/Referral_Source,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-orders-22,orders,customer_note_clean,derived,orders[].header.customerNote,Orders/Order/Header/Customer_Note,TODO-SHAWN,TODO-YANDU,TODO-EVIDENCE
MAP-orders-23,orders,promo_code,derived,orders[].header.customerNote,Orders/Order/Header/Customer_Note,TODO-SHAWN,TODO-YANDU,TODO-EVIDENCE
MAP-order_items-01,order_items,order_item_id,both,orders[].shoppingCart[].orderItemID,Orders/Order/Shopping_Cart/Item/Order_Item_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-order_items-02,order_items,order_id,both,orders[].shoppingCart[].orderID,Orders/Order/Shopping_Cart/Item/Order_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-order_items-03,order_items,product_id,both,orders[].shoppingCart[].productID,Orders/Order/Shopping_Cart/Item/Product_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-order_items-04,order_items,quantity,both,orders[].shoppingCart[].quantity,Orders/Order/Shopping_Cart/Item/Quantity,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-order_items-05,order_items,unit_price,both,orders[].shoppingCart[].unitPrice,Orders/Order/Shopping_Cart/Item/Unit_Price,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-order_items-06,order_items,line_revenue,both,orders[].shoppingCart[].lineRevenue,Orders/Order/Shopping_Cart/Item/Line_Revenue,"Recomputed as round(quantity × unit_price, 2) from the normalised columns; the source value is not copied. Reconciled against the source at the published tolerance 0.01 — 0 of 15,685 rows outside, max difference 0.0000 (§4.2).",TODO-YANDU,TODO-EVIDENCE
MAP-customers-01,customers,customer_id,JSON,customerProfiles[].customerID,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-02,customers,signup_date,JSON,customerProfiles[].signupDate,,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-customers-03,customers,loyalty_tier,JSON,customerProfiles[].loyaltyTier,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-04,customers,customer_segment,JSON,customerProfiles[].customerSegment,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-05,customers,age_band,JSON,customerProfiles[].ageBand,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-06,customers,preferred_channel,JSON,customerProfiles[].preferredChannel,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-07,customers,home_suburb,JSON,customerProfiles[].homeSuburb,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-08,customers,prior_12m_orders,JSON,customerProfiles[].prior12MOrders,,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-09,customers,lifetime_value_before_period,JSON,customerProfiles[].lifetimeValueBeforePeriod,,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-customers-10,customers,marketing_consent,JSON,customerProfiles[].marketingConsent,,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-11,customers,home_postcode,JSON,customerProfiles[].homePostcode,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-12,customers,home_state,JSON,customerProfiles[].homeState,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-13,customers,home_country,JSON,customerProfiles[].homeCountry,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-14,customers,preferred_language,JSON,customerProfiles[].preferredLanguage,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-15,customers,acquisition_source,JSON,customerProfiles[].acquisitionSource,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-16,customers,account_status,JSON,customerProfiles[].accountStatus,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-17,customers,preferred_device,JSON,customerProfiles[].preferredDevice,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-18,customers,email_domain,JSON,customerProfiles[].emailDomain,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-19,customers,household_size_band,JSON,customerProfiles[].householdSizeBand,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-customers-20,customers,contact_frequency_preference,JSON,customerProfiles[].contactFrequencyPreference,,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-01,deliveries,delivery_id,both,orders[].delivery.deliveryID,Orders/Order/Delivery/Delivery_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-02,deliveries,order_id,both,orders[].delivery.orderID,Orders/Order/Delivery/Order_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-03,deliveries,dispatch_date,both,orders[].delivery.dispatchDate,Orders/Order/Delivery/Dispatch_Date,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-04,deliveries,promised_date,both,orders[].delivery.promisedDate,Orders/Order/Delivery/Promised_Date,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-05,deliveries,delivered_date,both,orders[].delivery.deliveredDate,Orders/Order/Delivery/Delivered_Date,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-06,deliveries,carrier,both,orders[].delivery.carrier,Orders/Order/Delivery/Carrier,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-07,deliveries,service_level,both,orders[].delivery.serviceLevel,Orders/Order/Delivery/Service_Level,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-08,deliveries,delivery_status,both,orders[].delivery.deliveryStatus,Orders/Order/Delivery/Delivery_Status,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-09,deliveries,delay_days,both,orders[].delivery.delayDays,Orders/Order/Delivery/Delay_Days,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-10,deliveries,on_time_in_full,both,orders[].delivery.onTimeInFull,Orders/Order/Delivery/On_Time_In_Full,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-11,deliveries,fulfilment_hours,both,orders[].delivery.fulfilmentHours,Orders/Order/Delivery/Fulfilment_Hours,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-12,deliveries,delivery_cost,both,orders[].delivery.deliveryCost,Orders/Order/Delivery/Delivery_Cost,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-13,deliveries,delay_reason,both,orders[].delivery.delayReason,Orders/Order/Delivery/Delay_Reason,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-14,deliveries,promised_days,both,orders[].delivery.promisedDays,Orders/Order/Delivery/Promised_Days,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-15,deliveries,tracking_event_count,both,orders[].delivery.trackingEventCount,Orders/Order/Delivery/Tracking_Event_Count,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-16,deliveries,delivery_window,both,orders[].delivery.deliveryWindow,Orders/Order/Delivery/Delivery_Window,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-17,deliveries,shipping_distance_km,both,orders[].delivery.shippingDistanceKm,Orders/Order/Delivery/Shipping_Distance_Km,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-18,deliveries,signature_required,both,orders[].delivery.signatureRequired,Orders/Order/Delivery/Signature_Required,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-19,deliveries,estimated_carbon_kg,both,orders[].delivery.estimatedCarbonKg,Orders/Order/Delivery/Estimated_Carbon_Kg,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-deliveries-20,deliveries,delivery_note_clean,both,orders[].delivery.deliveryNoteClean,Orders/Order/Delivery/Delivery_Note_Clean,"Direct copy after deduplication - no cleaning, no lower-casing (DEC-018). Two distinct values across the 5,000 canonical deliveries, 'Carrier scan reconciled' and 'Delivered within promise', with no markup, URLs, entities or non-ASCII characters: a structured category, not narrative. The '_clean' suffix is the source system's own naming, not an instruction to clean. Written by the mapping's curator: the table-building handover classed this row as text-derived, which its source path in both files contradicts.",TODO-YANDU,TODO-EVIDENCE
MAP-products-01,products,product_id,XML,,ProductCatalogue/Product/Product_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-02,products,product_name,XML,,ProductCatalogue/Product/Product_Name,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-03,products,category,XML,,ProductCatalogue/Product/Category,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-04,products,brand,XML,,ProductCatalogue/Product/Brand,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-05,products,unit_price,XML,,ProductCatalogue/Product/Unit_Price,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-products-06,products,unit_cost,XML,,ProductCatalogue/Product/Unit_Cost,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",TODO-YANDU,TODO-EVIDENCE
MAP-products-07,products,launch_year,XML,,ProductCatalogue/Product/Launch_Year,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-products-08,products,warranty_months,XML,,ProductCatalogue/Product/Warranty_Months,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-products-09,products,weight_kg,XML,,ProductCatalogue/Product/Weight_Kg,Cast to numeric (§4.0.1).,TODO-YANDU,TODO-EVIDENCE
MAP-products-10,products,product_sku,XML,,ProductCatalogue/Product/Product_Sku,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-11,products,subcategory,XML,,ProductCatalogue/Product/Subcategory,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-12,products,model_family,XML,,ProductCatalogue/Product/Model_Family,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-13,products,colour,XML,,ProductCatalogue/Product/Colour,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-14,products,supplier_id,XML,,ProductCatalogue/Product/Supplier_ID,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-15,products,supplier_country,XML,,ProductCatalogue/Product/Supplier_Country,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-16,products,launch_date,XML,,ProductCatalogue/Product/Launch_Date,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",TODO-YANDU,TODO-EVIDENCE
MAP-products-17,products,tax_category,XML,,ProductCatalogue/Product/Tax_Category,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
MAP-products-18,products,package_type,XML,,ProductCatalogue/Product/Package_Type,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,TODO-YANDU,TODO-EVIDENCE
