customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00001,2014-08-08,Bronze,Value,25-34,Web,Footscray,11,7283.87,True,3011,VIC,Australia,ja,Social,Active,Mobile,inbox.example,5+,Monthly
CUS00002,2013-09-21,Silver,Premium,25-34,Web,Southbank,10,6091.84,False,3006,VIC,Australia,ja,Referral,Active,Desktop,mail.test,5+,Quarterly
CUS00003,2013-07-21,Bronze,Mainstream,45-54,Store,Southbank,17,2231.02,True,3006,VIC,Australia,de,Store,Active,Mobile,inbox.example,3-4,Essential only
CUS00004,2013-07-11,Silver,Premium,55+,Web,Carlton,12,11466.57,True,3053,VIC,Australia,pl,Organic,Active,Desktop,example.net,1,Essential only
CUS00005,2014-05-03,Bronze,Value,45-54,Mobile,Brunswick,13,3488.02,True,3056,VIC,Australia,pl,Referral,Active,Tablet,example.net,5+,Monthly
CUS00006,2016-12-09,Platinum,Premium,18-24,Store,Docklands,9,5390.3,False,3008,VIC,Australia,ar,Referral,Active,Mobile,inbox.example,3-4,Essential only
CUS00007,2017-05-18,Silver,Value,18-24,Web,Docklands,5,532.67,True,3008,VIC,Australia,ar,Social,Active,Tablet,inbox.example,5+,Weekly
CUS00008,2017-04-14,Platinum,Mainstream,35-44,Mobile,Northcote,4,2675.61,True,3070,VIC,Australia,zh,Paid Search,Active,Tablet,inbox.example,2,Essential only
CUS00009,2015-12-13,Silver,Mainstream,25-34,Web,St Kilda,11,1655.04,False,3182,VIC,Australia,ja,Social,Active,Mobile,example.net,3-4,Weekly
CUS00010,2013-12-22,Gold,Value,35-44,Store,Northcote,17,13378.62,False,3070,VIC,Australia,pt,Store,Active,Tablet,inbox.example,2,Weekly
CUS00011,2014-08-09,Silver,Premium,45-54,Store,Southbank,17,9387.4,False,3006,VIC,Australia,it,Referral,Active,Tablet,example.net,1,Essential only
CUS00012,2017-03-22,Silver,Premium,45-54,Store,Richmond,0,762.8,True,3121,VIC,Australia,it,Paid Search,Active,Desktop,mail.test,2,Essential only
CUS00013,2015-10-16,Bronze,Mainstream,25-34,Store,Footscray,20,5630.04,True,3011,VIC,Australia,pt,Organic,Active,Tablet,mail.test,1,Monthly
CUS00014,2013-09-13,Bronze,Value,55+,Mobile,Richmond,2,1389.54,True,3121,VIC,Australia,en,Referral,Active,Mobile,inbox.example,5+,Monthly
CUS00015,2013-04-04,Bronze,Small Business,45-54,Mobile,Footscray,10,9167.09,True,3011,VIC,Australia,en,Paid Search,Active,Desktop,example.net,3-4,Weekly
CUS00016,2017-01-21,Bronze,Small Business,35-44,Mobile,Northcote,12,9873.88,False,3070,VIC,Australia,de,Referral,Active,Desktop,inbox.example,1,Weekly
CUS00017,2017-02-09,Silver,Value,55+,Store,Richmond,13,10646.21,True,3121,VIC,Australia,en,Referral,Active,Desktop,inbox.example,5+,Weekly
CUS00018,2016-01-02,Silver,Value,18-24,Store,St Kilda,20,12699.39,True,3182,VIC,Australia,es,Organic,Active,Mobile,inbox.example,5+,Monthly
CUS00019,2016-10-08,Bronze,Small Business,55+,Mobile,Docklands,1,1504.62,False,3008,VIC,Australia,nl,Store,Active,Desktop,mail.test,5+,Weekly
CUS00020,2016-10-14,Bronze,Value,35-44,Web,Southbank,15,2036.02,False,3006,VIC,Australia,pt,Organic,Active,Tablet,mail.test,5+,Weekly
CUS00021,2013-12-14,Bronze,Premium,35-44,Store,Richmond,5,2700.28,True,3121,VIC,Australia,ar,Referral,Active,Desktop,inbox.example,1,Weekly
CUS00022,2013-12-15,Silver,Premium,25-34,Web,Northcote,19,4804.86,True,3070,VIC,Australia,en,Store,Active,Tablet,inbox.example,1,Weekly
