mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,orders[*].header.orderID,OperationsExport/Orders/Order/Header/Order_ID,,,
MAP-orders-02,orders,source_system_record_id,both,orders[*].header.sourceSystemRecordID,OperationsExport/Orders/Order/Header/Source_System_Record_ID,,,
MAP-orders-03,orders,customer_id,both,orders[*].header.customerID,OperationsExport/Orders/Order/Header/Customer_ID,,,
MAP-orders-04,orders,order_timestamp,both,orders[*].header.orderTimestamp,OperationsExport/Orders/Order/Header/Order_Timestamp,,,
MAP-orders-05,orders,sales_channel,both,orders[*].header.salesChannel,OperationsExport/Orders/Order/Header/Sales_Channel,,,
MAP-orders-06,orders,payment_method,both,orders[*].header.paymentMethod,OperationsExport/Orders/Order/Header/Payment_Method,,,
MAP-orders-07,orders,currency,both,orders[*].header.currency,OperationsExport/Orders/Order/Header/Currency,,,
MAP-orders-08,orders,nearest_warehouse,both,orders[*].header.nearestWarehouse,OperationsExport/Orders/Order/Header/Nearest_Warehouse,,,
MAP-orders-09,orders,order_status,both,orders[*].header.orderStatus,OperationsExport/Orders/Order/Header/Order_Status,,,
MAP-orders-10,orders,order_price,derived,orders[*].header.orderPrice,OperationsExport/Orders/Order/Header/Order_Price,,,
MAP-orders-11,orders,delivery_charges,both,orders[*].header.deliveryCharges,OperationsExport/Orders/Order/Header/Delivery_Charges,,,
MAP-orders-12,orders,coupon_code,both,orders[*].header.couponCode,OperationsExport/Orders/Order/Header/Coupon_Code,,,
MAP-orders-13,orders,coupon_discount,both,orders[*].header.couponDiscount,OperationsExport/Orders/Order/Header/Coupon_Discount,,,
MAP-orders-14,orders,tax_amount,derived,orders[*].header.taxAmount,OperationsExport/Orders/Order/Header/Tax_Amount,,,
MAP-orders-15,orders,order_total,derived,orders[*].header.orderTotal,OperationsExport/Orders/Order/Header/Order_Total,,,
MAP-orders-16,orders,season,both,orders[*].header.season,OperationsExport/Orders/Order/Header/Season,,,
MAP-orders-17,orders,expedited_delivery,both,orders[*].header.expeditedDelivery,OperationsExport/Orders/Order/Header/Expedited_Delivery,,,
MAP-orders-18,orders,customer_lat,both,orders[*].header.customerLat,OperationsExport/Orders/Order/Header/Customer_Lat,,,
MAP-orders-19,orders,customer_long,both,orders[*].header.customerLong,OperationsExport/Orders/Order/Header/Customer_Long,,,
MAP-orders-20,orders,device_type,both,orders[*].header.deviceType,OperationsExport/Orders/Order/Header/Device_Type,,,
MAP-orders-21,orders,referral_source,both,orders[*].header.referralSource,OperationsExport/Orders/Order/Header/Referral_Source,,,
MAP-orders-22,orders,customer_note_clean,derived,orders[*].header.customerNote,OperationsExport/Orders/Order/Header/Customer_Note,,,
MAP-orders-23,orders,promo_code,derived,orders[*].header.customerNote,OperationsExport/Orders/Order/Header/Customer_Note,,,
MAP-order_items-01,order_items,order_item_id,both,orders[*].shoppingCart[*].orderItemID,OperationsExport/Orders/Order/Shopping_Cart/Item/Order_Item_ID,,,
MAP-order_items-02,order_items,order_id,both,orders[*].shoppingCart[*].orderID,OperationsExport/Orders/Order/Shopping_Cart/Item/Order_ID,,,
MAP-order_items-03,order_items,product_id,both,orders[*].shoppingCart[*].productID,OperationsExport/Orders/Order/Shopping_Cart/Item/Product_ID,,,
MAP-order_items-04,order_items,quantity,both,orders[*].shoppingCart[*].quantity,OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity,,,
MAP-order_items-05,order_items,unit_price,both,orders[*].shoppingCart[*].unitPrice,OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,,,
MAP-order_items-06,order_items,line_revenue,derived,orders[*].shoppingCart[*].lineRevenue,OperationsExport/Orders/Order/Shopping_Cart/Item/Line_Revenue,,,
MAP-customers-01,customers,customer_id,JSON,customerProfiles[*].customerID,N/A - entity not present in XML source,,,
MAP-customers-02,customers,signup_date,JSON,customerProfiles[*].signupDate,N/A - entity not present in XML source,,,
MAP-customers-03,customers,loyalty_tier,JSON,customerProfiles[*].loyaltyTier,N/A - entity not present in XML source,,,
MAP-customers-04,customers,customer_segment,JSON,customerProfiles[*].customerSegment,N/A - entity not present in XML source,,,
MAP-customers-05,customers,age_band,JSON,customerProfiles[*].ageBand,N/A - entity not present in XML source,,,
MAP-customers-06,customers,preferred_channel,JSON,customerProfiles[*].preferredChannel,N/A - entity not present in XML source,,,
MAP-customers-07,customers,home_suburb,JSON,customerProfiles[*].homeSuburb,N/A - entity not present in XML source,,,
MAP-customers-08,customers,prior_12m_orders,JSON,customerProfiles[*].prior12MOrders,N/A - entity not present in XML source,,,
MAP-customers-09,customers,lifetime_value_before_period,JSON,customerProfiles[*].lifetimeValueBeforePeriod,N/A - entity not present in XML source,,,
MAP-customers-10,customers,marketing_consent,JSON,customerProfiles[*].marketingConsent,N/A - entity not present in XML source,,,
MAP-customers-11,customers,home_postcode,JSON,customerProfiles[*].homePostcode,N/A - entity not present in XML source,,,
MAP-customers-12,customers,home_state,JSON,customerProfiles[*].homeState,N/A - entity not present in XML source,,,
