order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0002731,HORD000879,PRD0045,1,180.47,180.47
HITM0002732,HORD000879,PRD0183,1,1008.76,1008.76
HITM0001662,HORD000537,PRD0086,2,669.12,1338.24
HITM0001663,HORD000537,PRD0640,1,215.9,215.9
HITM0000766,HORD000247,PRD0921,1,2485.73,2485.73
HITM0000767,HORD000247,PRD0424,2,937.77,1875.54
HITM0000768,HORD000247,PRD0240,1,371.29,371.29
HITM0010058,HORD003196,PRD0794,1,1445.08,1445.08
HITM0010059,HORD003196,PRD0470,1,91.58,91.58
HITM0010060,HORD003196,PRD0564,1,2199.8,2199.8
HITM0011308,HORD003602,PRD0621,1,3087.07,3087.07
HITM0011309,HORD003602,PRD0203,2,427.62,855.24
HITM0011310,HORD003602,PRD0546,1,227.79,227.79
HITM0002658,HORD000857,PRD0260,1,100.02,100.02
HITM0002659,HORD000857,PRD0546,1,227.79,227.79
HITM0002660,HORD000857,PRD0277,1,1153.48,1153.48
HITM0002661,HORD000857,PRD0760,2,36.27,72.54
HITM0000913,HORD000296,PRD0435,1,306.84,306.84
HITM0000914,HORD000296,PRD0906,2,303.87,607.74
HITM0000915,HORD000296,PRD1000,1,192.28,192.28
HITM0003015,HORD000968,PRD0530,2,14.38,28.76
HITM0003016,HORD000968,PRD0257,2,637.63,1275.26
HITM0003017,HORD000968,PRD0440,1,413.05,413.05
HITM0003018,HORD000968,PRD0166,2,822.52,1645.04
HITM0014824,HORD004716,PRD0890,1,309.69,309.69
HITM0014825,HORD004716,PRD0763,2,1579.7,3159.4
HITM0014826,HORD004716,PRD0981,1,2201.61,2201.61
HITM0001139,HORD000368,PRD0716,1,300.2,300.2
HITM0001140,HORD000368,PRD0537,1,1904.34,1904.34
HITM0001141,HORD000368,PRD0680,1,228.54,228.54
HITM0005495,HORD001758,PRD0236,1,135.01,135.01
HITM0015354,HORD004888,PRD0750,1,400.34,400.34
HITM0015355,HORD004888,PRD0640,1,215.9,215.9
HITM0008244,HORD002619,PRD0455,2,191.31,382.62
HITM0008245,HORD002619,PRD0654,1,864.76,864.76
HITM0008246,HORD002619,PRD0825,1,363.11,363.11
HITM0003487,HORD001127,PRD0142,2,1724.25,3448.5
HITM0003488,HORD001127,PRD0857,1,160.36,160.36
HITM0003489,HORD001127,PRD0047,1,64.28,64.28
HITM0006397,HORD002044,PRD0418,1,584.01,584.01
HITM0006398,HORD002044,PRD0338,1,472.36,472.36
HITM0006399,HORD002044,PRD0078,2,280.55,561.1
HITM0006400,HORD002044,PRD0392,1,827.61,827.61
HITM0004647,HORD001491,PRD0773,1,1495.61,1495.61
HITM0004648,HORD001491,PRD0250,2,376.98,753.96
HITM0004649,HORD001491,PRD0498,1,201.0,201.0
HITM0005420,HORD001731,PRD0642,1,1517.82,1517.82
HITM0005421,HORD001731,PRD0173,2,906.06,1812.12
HITM0009666,HORD003071,PRD0896,1,452.47,452.47
HITM0009667,HORD003071,PRD0322,3,1844.93,5534.79
HITM0008601,HORD002734,PRD0996,2,455.11,910.22
HITM0008602,HORD002734,PRD0785,1,86.54,86.54
HITM0008603,HORD002734,PRD0443,2,681.97,1363.94
HITM0008604,HORD002734,PRD0117,2,1297.02,2594.04
HITM0014548,HORD004628,PRD0243,1,567.88,567.88
HITM0014549,HORD004628,PRD0655,2,1032.43,2064.86
HITM0014550,HORD004628,PRD0742,1,338.72,338.72
HITM0005894,HORD001885,PRD0785,1,86.54,86.54
HITM0005895,HORD001885,PRD0475,1,559.21,559.21
HITM0003980,HORD001280,PRD0600,1,62.84,62.84
HITM0003981,HORD001280,PRD0238,2,866.49,1732.98
HITM0003982,HORD001280,PRD0648,1,1089.86,1089.86
HITM0001425,HORD000457,PRD0220,1,201.85,201.85
HITM0001426,HORD000457,PRD0619,2,1486.76,2973.52
HITM0009409,HORD002987,PRD0569,1,870.85,870.85
HITM0002060,HORD000665,PRD0379,2,989.35,1978.7
HITM0005506,HORD001762,PRD0446,1,168.08,168.08
HITM0005507,HORD001762,PRD0991,1,1841.41,1841.41
HITM0005508,HORD001762,PRD0870,1,297.44,297.44
HITM0005509,HORD001762,PRD0066,1,291.03,291.03
HITM0010489,HORD003336,PRD0152,1,528.88,528.88
HITM0010490,HORD003336,PRD0110,2,113.31,226.62
HITM0010491,HORD003336,PRD0015,1,238.76,238.76
HITM0004218,HORD001356,PRD0180,3,386.36,1159.08
HITM0004219,HORD001356,PRD0358,1,761.53,761.53
HITM0004220,HORD001356,PRD0851,1,2462.55,2462.55
HITM0004221,HORD001356,PRD0768,1,435.51,435.51
HITM0010688,HORD003403,PRD0962,1,482.88,482.88
HITM0010689,HORD003403,PRD0637,1,1350.41,1350.41
HITM0010690,HORD003403,PRD0320,1,154.64,154.64
HITM0008575,HORD002725,PRD0575,1,222.44,222.44
HITM0008576,HORD002725,PRD0680,1,228.54,228.54
HITM0014511,HORD004618,PRD0196,1,206.29,206.29
HITM0014512,HORD004618,PRD0727,1,842.09,842.09
HITM0014513,HORD004618,PRD0789,2,416.43,832.86
HITM0014514,HORD004618,PRD0749,1,1278.37,1278.37
HITM0000238,HORD000081,PRD0774,2,2233.58,4467.16
HITM0000239,HORD000081,PRD0838,2,858.89,1717.78
HITM0000240,HORD000081,PRD0175,1,1014.37,1014.37
HITM0000023,HORD000009,PRD0430,1,397.28,397.28
HITM0011167,HORD003561,PRD0920,1,53.18,53.18
HITM0011168,HORD003561,PRD0703,1,529.32,529.32
HITM0011169,HORD003561,PRD0286,1,725.81,725.81
HITM0011170,HORD003561,PRD0029,1,1303.04,1303.04
HITM0011171,HORD003561,PRD0456,1,690.03,690.03
HITM0007127,HORD002273,PRD0246,1,362.52,362.52
HITM0007128,HORD002273,PRD0934,1,789.27,789.27
HITM0007129,HORD002273,PRD0516,1,339.27,339.27
HITM0007130,HORD002273,PRD0874,1,2293.13,2293.13
HITM0007131,HORD002273,PRD0681,1,1086.83,1086.83
HITM0000335,HORD000113,PRD0513,1,1335.99,1335.99
HITM0000336,HORD000113,PRD0826,1,796.98,796.98
HITM0000337,HORD000113,PRD0239,1,271.25,271.25
HITM0000338,HORD000113,PRD0419,1,100.25,100.25
HITM0006087,HORD001946,PRD0887,1,1400.8,1400.8
HITM0006088,HORD001946,PRD0656,1,848.87,848.87
HITM0006089,HORD001946,PRD0716,1,300.2,300.2
HITM0011000,HORD003504,PRD0746,1,804.31,804.31
HITM0011001,HORD003504,PRD0142,1,1724.25,1724.25
HITM0009128,HORD002898,PRD0716,1,300.2,300.2
HITM0009129,HORD002898,PRD0634,1,1093.47,1093.47
HITM0009130,HORD002898,PRD0715,3,401.49,1204.47
HITM0009131,HORD002898,PRD0666,1,115.16,115.16
HITM0009730,HORD003092,PRD0499,1,1328.97,1328.97
HITM0009731,HORD003092,PRD0296,1,440.13,440.13
HITM0009732,HORD003092,PRD0225,1,255.65,255.65
HITM0015440,HORD004918,PRD0492,2,1105.9,2211.8
HITM0015441,HORD004918,PRD0143,1,1276.25,1276.25
HITM0015442,HORD004918,PRD0668,2,1025.81,2051.62
HITM0001502,HORD000485,PRD0433,1,456.5,456.5
HITM0001503,HORD000485,PRD0895,1,830.36,830.36
HITM0010120,HORD003218,PRD0680,1,228.54,228.54
HITM0010121,HORD003218,PRD0446,1,168.08,168.08
HITM0013314,HORD004234,PRD0075,1,155.15,155.15
HITM0013315,HORD004234,PRD0191,1,1103.43,1103.43
HITM0013236,HORD004209,PRD0590,1,54.96,54.96
HITM0013237,HORD004209,PRD0874,1,2293.13,2293.13
HITM0013238,HORD004209,PRD0688,1,409.87,409.87
HITM0007905,HORD002513,PRD0546,1,227.79,227.79
HITM0007906,HORD002513,PRD0798,1,999.78,999.78
HITM0007907,HORD002513,PRD0021,1,1347.38,1347.38
HITM0005007,HORD001602,PRD0131,1,1311.04,1311.04
HITM0010097,HORD003209,PRD0068,1,316.68,316.68
HITM0010098,HORD003209,PRD0645,1,262.13,262.13
HITM0009483,HORD003010,PRD0190,2,248.59,497.18
HITM0009484,HORD003010,PRD0944,2,2644.88,5289.76
HITM0015673,HORD004995,PRD0305,1,387.39,387.39
HITM0007492,HORD002388,PRD0590,1,54.96,54.96
HITM0007493,HORD002388,PRD0479,1,1360.38,1360.38
HITM0007494,HORD002388,PRD0587,1,2586.72,2586.72
HITM0007495,HORD002388,PRD0106,1,385.13,385.13
HITM0014358,HORD004568,PRD0256,1,694.57,694.57
HITM0002100,HORD000680,PRD0889,1,478.58,478.58
HITM0002101,HORD000680,PRD0333,1,454.01,454.01
HITM0002102,HORD000680,PRD0060,2,170.83,341.66
HITM0002103,HORD000680,PRD0566,2,150.7,301.4
HITM0012936,HORD004120,PRD0493,1,417.81,417.81
HITM0012937,HORD004120,PRD0023,1,688.53,688.53
HITM0012938,HORD004120,PRD0350,1,142.11,142.11
HITM0003869,HORD001247,PRD0010,2,23.5,47.0
HITM0003870,HORD001247,PRD0432,2,390.19,780.38
HITM0015129,HORD004812,PRD0188,1,370.0,370.0
