product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0001,Candle Bloom 100,Laptop,Candle,2765.47,1681.81,2017,24,1.209,SKU-CAN00001,Ultrabook,Arc,Green,SUP001,Australia,2017-07-01,GST_STANDARD,Recycled box,True,True,"ultrabook designed for portable document work and video meetings, in the arc family and supplied by candle with a 24-month warranty."
PRD0002,Vela Halo 101,Smartphone,Vela,455.28,310.78,2014,24,0.28,SKU-VEL00002,5G Smartphone,Atlas,White,SUP002,Korea,2014-01-12,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for daily communication and navigation, in the atlas family and supplied by vela with a 24-month warranty."
PRD0003,Candle Quest 102,Tablet,Candle,472.24,295.51,2012,24,0.514,SKU-CAN00003,Productivity Tablet,Bloom,Black,SUP003,China,2012-02-01,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for reading, annotation and handwritten notes, in the bloom family and supplied by candle with a 24-month warranty."
PRD0004,Vela Wave 103,Home Entertainment,Vela,1300.01,720.7,2013,24,6.423,SKU-VEL00004,Smart Display,Core,Gold,SUP004,Malaysia,2013-11-05,GST_STANDARD,Recycled box,False,False,"smart display designed for shared film and television viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0005,Candle Edge 104,Audio,Candle,770.31,459.45,2014,12,0.525,SKU-CAN00005,Wireless Audio,Edge,Black,SUP005,China,2014-11-04,GST_STANDARD,Protective case,False,True,"wireless audio designed for commuting and spoken-content listening, in the edge family and supplied by candle with a 12-month warranty."
PRD0006,Vela Nova 105,Smart Home,Vela,733.43,542.06,2014,12,0.337,SKU-VEL00006,Home Automation,Echo,White,SUP006,Malaysia,2014-03-11,GST_STANDARD,Recycled box,True,True,"home automation designed for app-controlled room lighting, in the echo family and supplied by vela with a 12-month warranty."
PRD0007,Candle Shift 106,Gaming,Candle,1605.29,1185.91,2012,24,1.307,SKU-CAN00007,Gaming Hardware,Flux,Graphite,SUP007,Korea,2012-08-10,GST_STANDARD,Protective case,True,True,"gaming hardware designed for long desktop gaming sessions, in the flux family and supplied by candle with a 24-month warranty."
PRD0008,Vela Atlas 107,Wearable,Vela,442.13,234.41,2017,12,0.107,SKU-VEL00008,Health Wearable,Halo,Green,SUP008,Australia,2017-05-27,GST_STANDARD,Box,True,True,"health wearable designed for daily activity and sleep tracking, in the halo family and supplied by vela with a 12-month warranty."
PRD0009,Candle Flux 108,Networking,Candle,301.36,198.5,2017,24,0.736,SKU-CAN00009,Connected Network,Lumen,Red,SUP009,Vietnam,2017-05-27,GST_STANDARD,Box,True,True,"connected network designed for home-office wireless coverage, in the lumen family and supplied by candle with a 24-month warranty."
PRD0010,Vela Pulse 109,Accessory,Vela,23.5,15.79,2015,12,0.213,SKU-VEL00010,Mobile Accessory,Nova,Blue,SUP010,Japan,2015-09-05,GST_STANDARD,Protective case,True,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the nova family and supplied by vela with a 12-month warranty."
