mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,orders[].header.orderID,Orders/Order/Header/Order_ID,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-02,orders,source_system_record_id,both,orders[].header.sourceSystemRecordID,Orders/Order/Header/Source_System_Record_ID,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-03,orders,customer_id,both,orders[].header.customerID,Orders/Order/Header/Customer_ID,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-04,orders,order_timestamp,both,orders[].header.orderTimestamp,Orders/Order/Header/Order_Timestamp,"Parsed day-first for the XML and ISO for the JSON, held as a Timestamp through Section 4, emitted as YYYY-MM-DD HH:MM:SS at export (Section 4.0.1, Section 7).","Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-05,orders,sales_channel,both,orders[].header.salesChannel,Orders/Order/Header/Sales_Channel,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-06,orders,payment_method,both,orders[].header.paymentMethod,Orders/Order/Header/Payment_Method,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-07,orders,currency,both,orders[].header.currency,Orders/Order/Header/Currency,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-08,orders,nearest_warehouse,both,orders[].header.nearestWarehouse,Orders/Order/Header/Nearest_Warehouse,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-09,orders,order_status,both,orders[].header.orderStatus,Orders/Order/Header/Order_Status,Direct copy after deduplication. No case change; identifier padding is preserved by holding the column as string through export.,"Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
MAP-orders-10,orders,order_price,both,orders[].header.orderPrice,Orders/Order/Header/Order_Price,"Recomputed as round(sum of line_revenue, 2) over the canonical order_items of each order; the source value is not copied. Reconciled at tolerance 0.01 (Section 4.1, VAL-ARITH-02).","Both files supply this table. Rows are concatenated, normalised, then reduced to one row per order_id with drop_duplicates(keep=""first"") — deduplication after normalisation, so a difference of source spelling is not read as a difference of value. A key whose two sources give different non-missing values for this field is recorded as a conflict in the validation register instead of being resolved by source precedence (Section 5, VAL-FLOW-09 to VAL-FLOW-12).",Section 4.1
